phrase,chi2
feder immigr,0.594236912928682
reauthor bill,0.5951809676249551
power grab,0.5953064732782739
lawabid american,0.5967539793171905
address floor,0.59834876524007
japanes american,0.5986405601449525
law want,0.6008530313894536
across southern border,0.6020651544971476
give illeg,0.6022414377270674
would submit,0.602425628764151
care bill,0.6030578246280583
head start,0.6071261427398612
weber state,0.6072197428974646
health care bill,0.6124632193314246
properti right,0.6143596909408916
violenc sexual,0.6144899165569031
amnesti plan,0.6146108372083808
first american,0.6149069489304323
come shadow,0.6152866015757815
senat gang eight,0.6154860115444598
pay attent,0.6164691629569076
hardwork immigr,0.6167982449450737
kill american,0.6192340398654583
fear deport,0.6196353508389824
mario cuomo,0.6199500007551291
janet napolitano,0.6222184485324096
human smuggl,0.6228909774239344
thousand illeg,0.6230262238700289
million foreign,0.6237144346459764
republican bill,0.6248760869217063
give amnesti million,0.6250960843993285
boy town,0.6259335693178893
secur border,0.6266156744914158
hurt american,0.6266443449249008
provid health insur,0.6278795478522328
peopl come illeg,0.6343499085228723
deficitneutr reserv,0.6372195041684885
deficitneutr reserv fund,0.6372195041684885
illeg immigr take,0.6390950009462959
judici watch,0.6392579033227458
dr johnson,0.6407361743467139
right vote,0.6410998209472337
innov invest,0.6413940758595267
reduc deficit,0.6430607915673567
donald trump,0.6441535112161499
faith execut,0.644959696292883
reauthor violenc,0.6459813205763607
reauthor violenc women,0.6459813205763607
black caucus,0.6475269555618337
flood insur,0.6476755338299369
keep famili,0.6477364651913022
defend constitut,0.6483313816986915
presid illeg,0.6486163230401532
cut medicar,0.6498971200380663
visa program,0.6514881662052452
women reauthor act,0.6537270303907542
unconstitut action,0.6552334951902732
pass bipartisan,0.6587880520062919
congression black caucus,0.659207304908761
agent terri,0.6602837610836898
sexselect abort,0.6604995090714207
vote right act,0.6648086867250147
congression black,0.6650555633237549
presid unconstitut,0.6656529103563462
put interest american,0.6658250575243929
presid unit state,0.6668533057329387
articl iii,0.6698296536588939
percent illeg,0.6709429077617781
research unit,0.6718720144467716
research unit state,0.6718720144467716
job illeg,0.6726019678700499
rais tax,0.6733620112271492
employ illeg,0.6736413738485012
come togeth,0.6758747762725634
power purs,0.6781261555799171
control border,0.6794339152562558
republican colleagu,0.6804860458673112
minimum wage,0.6807190679084416
freedom speech,0.6841932876177448
presid unit,0.686106442737455
republican parti,0.6866367742156715
american heritag month,0.6890406133844829
govern benefit,0.6923458686522214
unaccompani alien children,0.6943914867612953
immigr polici,0.6956111350594305
arizona immigr law,0.6967543622999417
reserv fund,0.7013858573925904
want come,0.7054034739632677
vote right,0.7055975508007333
young peopl,0.7070799076195962
section 236c,0.7090280199585374
violenc women reauthor,0.7131027346034118
women reauthor,0.7131027346034118
legal illeg,0.7138101703555599
pillar american except,0.7190686238322055
come across border,0.7198923760195686
immigr get,0.7202961304292537
interest illeg immigr,0.7219169012889876
opposit hr,0.7225724774522161
senat gang,0.7271095439652183
scarc job,0.7283043431354399
deport illeg,0.7301988047964909
protect victim,0.7346453532729741
reauthor act,0.7356494961897533
free enterpris capit,0.7362936792923727
lgbt communiti,0.7375626811465585
act promot,0.7389895987849773
act promot innov,0.7389895987849773
immigr program purpos,0.7389895987849773
innov invest research,0.7389895987849773
invest research unit,0.7389895987849773
nation act promot,0.7389895987849773
promot innov invest,0.7389895987849773
nativ american women,0.7420747998845681
uphold constitut,0.746318265070284
move forward,0.7470485378787453
interest illeg,0.7476436412706718
build fenc,0.7478955036412375
white hous,0.7502118819551653
enterpris capit,0.7513661572684348
pillar american,0.7587105664991856
senat immigr,0.7669591732591914
cathol school,0.7690341886576254
border patrol,0.7791298411510448
execut branch,0.7815034170592632
enforc immigr,0.7835938653118304
bipartisan senat,0.7902248459082464
use everifi,0.7906355862973646
presid execut amnesti,0.7908625189622748
illeg countri,0.7973899770504538
presid said,0.799099442715468
republican leadership,0.800225037408197
rio grand,0.8024239804074815
american heritag,0.8033535368011946
articl section,0.80464937040047
crimin illeg,0.804933431224373
immigr famili,0.808119617733779
take care,0.8096891882090945
protect immigr,0.8264200070080722
divers visa program,0.8269627386952737
million undocu immigr,0.8273717097243996
ignor american,0.8295405629635766
grant amnesti million,0.8305229581831116
divers immigr program,0.8357898484005186
fix broken,0.8364487004007053
defund presid,0.8392062273244509
illeg immigr get,0.839672864042074
come countri,0.8455356241139628
unaccompani alien,0.8474019584457978
arizona immigr,0.850518895787657
use taxpay dollar,0.8591755399511862
feder immigr law,0.8604405531435491
care law,0.8710898528798203
sanctuari polici,0.8732836738134684
american peopl,0.8811645485548683
southern border,0.8948330481356972
reform bill,0.899607261337247
protect women,0.9006190347361656
come across,0.9036279981115706
law book,0.9041742485408637
hire illeg immigr,0.9130632473096221
immigr studi,0.9159742333030589
stem visa,0.916929876892491
use taxpay,0.9169464065129156
law presid,0.9208519118973073
center immigr,0.934539893187461
center immigr studi,0.934539893187461
amnesti act,0.9384990458744873
separ power,0.9421303693339329
amnesti illeg immigr,0.9428290234458716
enforc immigr law,0.9432030473094304
million undocu,0.945735766881238
heritag foundat,0.9543949299429089
american except,0.969149942822944
american women,0.9730772182251988
drug cartel,0.9745201147975504
health insur polici,0.9745265112641183
bipartisan bill,0.9806613914776134
come unit state,0.9843749971033252
nation media,0.9879579555354517
presid calderon,0.9895588027206594
peopl come,0.990026289742922
senat immigr bill,0.9963660750686792
hire illeg,1.0017236626113735
program purpos,1.0039337336924896
come unit,1.026892048243898
visa overstay,1.027072051926086
harri reid,1.039928645368616
unlaw immigr,1.0442025703684874
roll back,1.0458494307814528
rule pass,1.0497617512261361
mr speaker,1.0654585345762388
million illeg alien,1.0702095089296204
jewish american,1.0784254905630237
fix broken immigr,1.0884624729641574
free enterpris,1.0921473424591994
heritag month,1.1057161989027848
legal immigr,1.1063458207028822
secur number,1.1079498780037342
social secur number,1.1079498780037342
nativ american,1.1141105600583814
branch govern,1.1226042398839748
bill amend immigr,1.1338112931032238
puerto rico,1.1342236991407413
taxpay dollar,1.1349273307394516
immigr communiti,1.136530395958683
pass bill amend,1.1366786740398935
divers visa,1.1498379389462134
ignor law,1.158068689345235
amend immigr,1.1662318681515247
open border,1.1798828617336936
insur polici,1.1839942188414616
amend immigr nation,1.1879188551320226
radic islamist,1.1915614210763508
immigr reform bill,1.2010828476806177
immigr women,1.2014336260437068
gang eight,1.210600160562104
citizen legal,1.2224054987612496
put interest,1.231569524938955
immigr nation act,1.2334532477979812
legal worker,1.2482694641369696
unit state illeg,1.2511483343998417
nation act,1.2677000228188655
amnesti illeg,1.2713392559330252
countri illeg,1.2715683860175964
citizen legal immigr,1.2822010349618087
amnesti bill,1.2827618540073107
victim domest violenc,1.2908454333969397
state illeg,1.3107863024460087
come illeg,1.3186561399242218
pass comprehens immigr,1.331934850414267
break law,1.3323216784711562
across border,1.3531003900131493
american worker,1.3607443720460077
pass comprehens,1.3650908795162278
illeg worker,1.3651227701496853
suspend rule,1.3810095506941706
suspend rule pass,1.3848301038153386
health care,1.42012252496052
give amnesti,1.4432166775364037
mr speaker move,1.448535695779749
charter school,1.4866613109443156
american taxpay,1.4966458717043762
speaker move,1.5071267226513199
unit state,1.5498568739846308
victim domest,1.5921483382694768
rule pass bill,1.6083994664016963
sanctuari citi,1.6138950895296906
undocu immigr,1.6181024664783825
feder employe,1.6593192158728067
radic islam,1.6676366900883965
feder govern,1.689526722433229
asian pacif american,1.690653554499629
pacif american,1.690653554499629
move suspend,1.7191609090505926
move suspend rule,1.7191609090505926
speaker move suspend,1.7191609090505926
amnesti million illeg,1.7422837224536352
hous republican,1.807736702664549
obama administr,1.8523006255939598
enforc law,2.091961797535379
broken immigr system,2.149275801582765
immigr system,2.190961039799052
broken immigr,2.2177708297812453
health insur,2.229062169031871
amnesti million,2.231719162557777
asian pacif,2.2495993193193025
grant amnesti,2.306316427271221
violenc women act,2.4734351818381155
execut amnesti,2.477954280682323
women act,2.493795573980488
rule law,2.70961657909133
immigr law,2.9592762962688948
million illeg immigr,3.096768432670891
violenc women,3.3173942256623548
domest violenc,3.6298124857709064
million illeg,4.091131621944162
comprehens immigr reform,4.823737988228379
comprehens immigr,4.936188577928597
immigr reform,5.451646722789112
illeg alien,6.136174585247259
illeg immigr,12.233797803914682
