phrase,chi2
sexselection abortion,0.5882389661249081
check balance,0.588884683914342
right way,0.5894487790084681
religious belief,0.5900482510008324
social security,0.5902257839034941
oath office,0.5931054359187649
voting rights,0.5956730324029579
power grab,0.5964365119593922
lottery program,0.5964985984990057
percountry cap,0.5965641465093774
arizona immigration,0.5975143241154441
republican bill,0.5987376070285618
federal immigration,0.5993403458668373
catholic school,0.600606696094785
balanced budget,0.6035229207730031
dr johnson,0.6036877960569945
address floor,0.6046046645613299
illegal immigrant come,0.6046656954820755
faithfully execute,0.6061095512214444
judicial watch,0.6061593528109664
build fence,0.6065954486843397
care bill,0.607548554279781
across southern border,0.607786071428755
weber state,0.6086636782695589
pay attention,0.6091333437336294
protect woman,0.6092084907463857
head start,0.6094248581910132
american workers,0.6111037633042349
say illegal,0.611575011879798
say well,0.6130460320563358
violence sexual,0.6150731682355961
amnesty plan,0.6165956623148906
health care bill,0.6169052898362757
protection immigrant,0.6169215451933572
come together,0.6171085779711514
agent terry,0.6198477599588732
legal illegal,0.6240460324448585
thousand illegal,0.6260792998650649
many americans,0.6261530012942519
human smuggling,0.6282939529714764
right vote,0.6282943841584517
voting rights act,0.6365826975031337
civil right,0.6368498495634223
deficitneutral reserve,0.6375855114327222
deficitneutral reserve fund,0.6375855114327222
illegal immigrant take,0.6376435377339069
experience violence,0.6383615748061564
jewish american,0.6452731002014993
reduce deficit,0.6478892755993644
president illegal,0.6513262910021262
black caucus,0.6534681701963527
research united,0.6541312065457812
research united states,0.6541312065457812
cut medicare,0.6545404648658877
flood insurance,0.6554200883318944
republican colleague,0.6575771036137568
keep family,0.6577393423993032
republican party,0.6579823835101305
give amnesty million,0.6590875667107311
percent illegal,0.660757085020831
visa program,0.6617522636397276
pass bipartisan,0.6621549672627062
administration say,0.664286737133142
congressional black caucus,0.6651212728673628
innocent americans,0.6669221155464664
control border,0.6675717218612616
job illegal,0.6709059076294559
congressional black,0.671062957193767
go back,0.6749563112969432
visa overstay,0.6763968335533662
article iii,0.6780018608986271
say go,0.6782543670530836
power purse,0.6805470215580428
would submit,0.6844732303612462
minimum wage,0.6880569324067158
take care,0.6891016952663004
freedom speech,0.6910302835726756
young people,0.6931891411305098
pillar american exceptionalism,0.6949534004307547
government benefit,0.6966249440269565
american heritage month,0.6970930595507474
president united states,0.6998860569484822
reserve fund,0.7017713964385965
law book,0.7039013361335684
provide health insurance,0.7085155806550623
reauthorization act,0.7105260273772913
want come,0.7126559822708121
president united,0.713514771725864
bill amend,0.7148101066015523
scarce job,0.7173514863282872
interest illegal immigrant,0.7181442335892817
pillar american,0.7209522264044226
immigration policy,0.7210462487656977
act promote,0.7212969862397117
act promote innovation,0.7212969862397117
immigrant program purpose,0.7212969862397117
innovation investment,0.7212969862397117
innovation investment research,0.7212969862397117
investment research,0.7212969862397117
investment research united,0.7212969862397117
nationality act promote,0.7212969862397117
promote innovation investment,0.7212969862397117
uphold constitution,0.7239610306674038
secure border,0.7341285830631381
purpose amend,0.7370935681142365
lgbt community,0.7377925785001204
unaccompanied alien child,0.7390721663181937
free enterprise capitalism,0.7435903138383004
interest illegal,0.7446161208561644
people come,0.7499041597938394
white house,0.7521958929017978
move forward,0.7579469929789715
enterprise capitalism,0.7588336694355188
senate immigration,0.7632931437364108
president executive amnesty,0.7704789281840867
senate gang,0.772300317931081
republican leadership,0.7777051688615855
united states illegally,0.7854904793012258
border patrol,0.7884804344346654
raise taxis,0.7922022059457706
bipartisan senate,0.7932533831520764
center immigration study,0.7937372678639811
executive branch,0.7939980370865674
use everify,0.7949975115096553
defund president,0.798071437753964
use taxpayer dollar,0.800794077580662
immigrant family,0.8075971702068461
article section,0.8081934900219525
rio grande,0.8087668520565134
million undocumented immigrant,0.8093117864624599
american heritage,0.811104027376433
diversity immigrant program,0.819489757668721
immigrant program,0.819489757668721
immigration study,0.8262274476808023
criminal illegal,0.8277324634947567
come united states,0.8278666189871737
diversity visa program,0.8311534359749879
violence women act,0.8311659816180608
come across border,0.8330395659516552
grant amnesty million,0.8346552808862422
native american woman,0.8377916571517854
people come illegally,0.8439310834305909
unaccompanied alien,0.8468370439091875
native american,0.8580867857166165
states illegally,0.8581922865450307
women act,0.861015816040976
pron get,0.8614088157324733
amnesty illegal immigrant,0.8647552694540444
federal immigration law,0.8669403382672765
break immigration system,0.867836779350645
sanctuary policy,0.8746877229071888
care law,0.8757269452678624
