phrase,chi2,party
law sanctuari citi,0.8890856074874318,R
unit state today,0.8890856074874318,R
us district court,0.8890856074874318,R
us unit state,0.8890856074874318,R
thank gentleman california,0.9292529896298983,D
may consum rise,0.9481093460080954,R
suprem court justic,0.9481093460080954,R
work everi day,0.9481093460080954,R
colleagu across aisl,1.0109997957748076,R
legal immigr system,1.0109997957748076,R
member hous repres,1.0109997957748076,R
member unit state,1.0109997957748076,R
presid obama execut,1.0109997957748076,R
unit state nation,1.0109997957748076,R
colleagu support bill,1.0763922351713155,R
mr chairman yield,1.0763922351713155,R
unit state suprem,1.0763922351713155,R
children health insur,1.143496562209263,R
homeland secur depart,1.143496562209263,R
immigr reform immigr,1.143496562209263,R
provid health care,1.143496562209263,R
achiev american dream,1.2050137284712608,D
rise today speak,1.2050137284712608,D
talk littl bit,1.2050137284712608,D
defer action program,1.2087110553904101,D
protect immigr victim,1.2087110553904101,D
dream act would,1.2118236661339525,R
bill pass senat,1.2584866913249675,D
bill would also,1.2584866913249675,D
communiti unit state,1.2584866913249675,D
immigr past year,1.2584866913249675,D
law enforc immigr,1.2584866913249675,D
nation law nation,1.2584866913249675,D
presid republican democrat,1.2584866913249675,D
remov unit state,1.2584866913249675,D
say dont want,1.2584866913249675,D
secur econom opportun,1.2584866913249675,D
want thank chairman,1.2584866913249675,D
nation defens author,1.281054561670581,R
hous judiciari committe,1.297597942998479,D
make sure peopl,1.3234303024802019,D
health care reform,1.4227880103380195,D
madam rise today,1.5016806031450676,D
restor rule law,1.5016806031450676,D
colleagu support hr,1.5632303887086163,R
coupl week ago,1.5632303887086163,R
govern account offic,1.5632303887086163,R
law pass congress,1.5632303887086163,R
peopl across countri,1.5632303887086163,R
popul unit state,1.5632303887086163,R
protect american worker,1.5632303887086163,R
secur unit state,1.5632303887086163,R
stop illeg immigr,1.5632303887086163,R
veteran world war,1.5632303887086163,R
back unit state,1.5676368308788495,R
chairman yield time,1.5676368308788495,R
hous repres pass,1.5676368308788495,R
job unit state,1.5676368308788495,R
mr urg colleagu,1.5676368308788495,R
us citizen legal,1.5676368308788495,R
friend side aisl,1.5914939565184438,D
depart public safeti,1.591791119769971,R
health care america,1.591791119769971,R
access health care,1.604279652363339,D
immigr nation law,1.604279652363339,D
bill us today,1.6116147405205474,D
today strong support,1.6116147405205474,D
presid execut action,1.616786898231905,D
everi singl one,1.628287812861649,R
martin luther king,1.6419932378769655,D
rise today strong,1.6419932378769655,D
current immigr system,1.6525291631829109,D
dream american dream,1.6525291631829109,D
gentleman new york,1.6525291631829109,D
immigr system work,1.6525291631829109,D
mr want thank,1.6525291631829109,D
pursu american dream,1.6525291631829109,D
unit state bill,1.6525291631829109,D
presid barack obama,1.7067431592664752,R
mr thank gentleman,1.7234975266060046,R
number illeg immigr,1.7234975266060046,R
state local govern,1.7234975266060046,R
stem job act,1.7234975266060046,R
address immigr reform,1.7572443214050693,D
american dream american,1.7572443214050693,D
bill includ provis,1.7572443214050693,D
look forward continu,1.7572443214050693,D
nonpartisan congression budget,1.7572443214050693,D
republican democrat issu,1.7572443214050693,D
work hard everi,1.7572443214050693,D
would like thank,1.8080301590932653,D
arm servic committe,1.8962186920161908,R
would like see,1.8962186920161908,R
nation immigr nation,2.004810884512134,D
presid execut order,2.004810884512134,D
everi singl day,2.05074161775718,D
percent american peopl,2.05074161775718,D
confer cathol bishop,2.130526236453873,D
defer action parent,2.130526236453873,D
mr chairman rise,2.130526236453873,D
along usmexico border,2.289513448950922,D
american peopl support,2.289513448950922,D
homeland secur fund,2.289513448950922,D
immigr reform let,2.289513448950922,D
unit state long,2.289513448950922,D
bill becom law,2.344845583062924,R
dont even know,2.344845583062924,R
congression research servic,2.3451862920847386,R
get health care,2.3451862920847386,R
remain unit state,2.3451862920847386,R
small busi owner,2.3451862920847386,R
hundr thousand peopl,2.367022780709272,R
job american citizen,2.367022780709272,R
legal immigr process,2.367022780709272,R
number border patrol,2.367022780709272,R
serv unit state,2.367022780709272,R
thank gentleman texa,2.367022780709272,R
unit state year,2.4060450656924357,D
live american dream,2.4174221107808203,D
enforc rule law,2.424000379570054,R
safeti secur american,2.424000379570054,R
stay unit state,2.424000379570054,R
steinl san francisco,2.424000379570054,R
unit state economi,2.424000379570054,R
within unit state,2.424000379570054,R
homeland secur appropri,2.4251803473478573,D
would also like,2.450741207781303,D
feder law enforc,2.4636422428464453,R
local law enforc,2.4859651909505542,D
crimin justic system,2.516973382649935,D
allow million peopl,2.538978647121559,R
illeg immigr america,2.538978647121559,R
illeg immigr legal,2.538978647121559,R
mani peopl come,2.538978647121559,R
