phrase,chi2,party
state feder,0.21649122340279853,D
year come,0.21649122340279853,D
year congress,0.21649122340279853,D
execut author,0.2179309718849985,D
meet need,0.2179309718849985,D
never forget,0.2179309718849985,D
need help,0.2224012344278292,D
put live,0.2224012344278292,D
vast major,0.2224012344278292,D
increas number,0.2418480110735438,D
introduc legisl,0.2438464267811427,D
program allow,0.2438464267811427,D
bipartisan legisl,0.25869233474778175,D
countri love,0.25869233474778175,D
nation peopl,0.25869233474778175,D
republican side,0.25869233474778175,D
republican would,0.25869233474778175,D
us worker,0.25869233474778175,D
better place,0.26925682525716627,D
defens author,0.2716733985341171,D
foreign affair,0.2741744480246888,D
law prohibit,0.2741744480246888,D
make work,0.2741744480246888,D
need done,0.2741744480246888,D
need stop,0.2741744480246888,D
martin luther,0.27545196980060505,D
law perman,0.2987942204270574,D
learn english,0.2987942204270574,D
last month,0.3080094954400022,D
brought unit,0.3211073642420436,D
came togeth,0.3211073642420436,D
countri today,0.3211073642420436,D
immigr program,0.3211073642420436,D
live shadow,0.3211073642420436,D
qualiti life,0.3211073642420436,D
secur nation,0.3211073642420436,D
time come,0.3211073642420436,D
creat new,0.32337073679911066,D
want talk,0.32337073679911066,D
come immigr,0.3245385851526223,D
provis bill,0.3245385851526223,D
gentleman yield,0.32512856904152376,D
join support,0.33440653380974217,D
doesnt make,0.33450183326879623,D
serv militari,0.33450183326879623,D
act would,0.34211662858059066,D
bill last,0.36259048310603836,D
congress make,0.36259048310603836,D
presid bill,0.36259048310603836,D
would add,0.36259048310603836,D
appropri committe,0.3771467957715663,D
consum mr,0.37803067175269167,D
gentleman california,0.3798535468798204,D
get right,0.3798535468798204,D
mr chair,0.3798535468798204,D
day day,0.381905161710694,D
immigr immigr,0.381905161710694,D
continu fight,0.3842158799923897,D
keep peopl,0.3842158799923897,D
citizen law,0.3925208196237716,D
face countri,0.3925208196237716,D
immigr peopl,0.3925208196237716,D
system make,0.3925208196237716,D
thank leadership,0.3925208196237716,D
near million,0.39467586258447646,D
secur american,0.39467586258447646,D
america better,0.39653745101026616,D
america need,0.39653745101026616,D
american american,0.39653745101026616,D
say let,0.39653745101026616,D
speak english,0.39653745101026616,D
yield minut,0.39653745101026616,D
bill hous,0.413177954700907,D
task forc,0.413177954700907,D
vice presid,0.413177954700907,D
bill brought,0.430917587030728,D
economi creat,0.430917587030728,D
support american,0.430917587030728,D
get done,0.43271811353682954,D
would help,0.43271811353682954,D
becom citizen,0.435861943769997,D
turn back,0.435861943769997,D
address problem,0.44780266212624253,D
america want,0.44780266212624253,D
elect offici,0.44780266212624253,D
equal protect,0.44780266212624253,D
republican congress,0.44780266212624253,D
public health,0.4557006120009595,D
almost everi,0.4579409562277335,D
arriv unit,0.4579409562277335,D
bill let,0.4579409562277335,D
countri better,0.4579409562277335,D
grant defer,0.4579409562277335,D
part countri,0.4579409562277335,D
time nation,0.4579409562277335,D
today would,0.4579409562277335,D
committe chairman,0.46018743334316636,D
one anoth,0.46018743334316636,D
think american,0.46018743334316636,D
small busi,0.48381231704826533,D
need make,0.4850561051986657,D
let get,0.4898505259045345,D
new immigr,0.4898505259045345,D
america great,0.5001484825673569,D
author presid,0.5001484825673569,D
better job,0.5001484825673569,D
live line,0.5001484825673569,D
opportun american,0.5001484825673569,D
provid resourc,0.5001484825673569,D
time mani,0.5001484825673569,D
young person,0.5001484825673569,D
act bill,0.5117331982232408,D
american children,0.5117331982232408,D
live unit,0.5117331982232408,D
countri work,0.5233610928316954,D
law protect,0.5233610928316954,D
us armi,0.5233610928316954,D
bill make,0.5250716560961219,D
long way,0.5250716560961219,D
secur medicar,0.5250716560961219,D
us would,0.5250716560961219,D
english languag,0.531675823708275,D
may consum,0.54460051283215,D
rule committe,0.5518618530032445,D
american public,0.5634628401470198,D
